dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.3537,0.3781
1,0.50266,0.561
2,0.59346,0.6367
3,0.64514,0.7081
4,0.68282,0.7047
5,0.7125,0.7461
6,0.73,0.735
7,0.74132,0.7721
8,0.75088,0.7594
9,0.75988,0.773
10,0.76498,0.7499
11,0.77016,0.7745
12,0.7741,0.8073
13,0.77934,0.788
14,0.7819,0.8051
15,0.78644,0.8263
16,0.78632,0.7699
17,0.7907,0.803
18,0.79132,0.8002
19,0.79538,0.8101
20,0.79304,0.7513
21,0.7958,0.8267
22,0.79676,0.7621
23,0.79858,0.7902
24,0.80016,0.7715
25,0.8002,0.8203
26,0.80474,0.8118
27,0.80362,0.7808
28,0.80218,0.7984
29,0.80416,0.8278
30,0.805,0.8104
31,0.80968,0.7896
32,0.80842,0.8298
33,0.80762,0.7943
34,0.81022,0.7853
35,0.81194,0.7009
36,0.81332,0.7967
37,0.80994,0.8429
38,0.8104,0.8088
39,0.81024,0.8156
40,0.8118,0.7881
41,0.81314,0.833
42,0.81206,0.7929
43,0.81536,0.8022
44,0.8129,0.7271
45,0.81414,0.8236
46,0.81452,0.8316
47,0.81372,0.7995
48,0.81366,0.8292
49,0.81634,0.821
50,0.81442,0.7459
51,0.8153,0.8405
52,0.81596,0.7889
53,0.81538,0.808
54,0.8166,0.8048
55,0.81426,0.8417
56,0.81798,0.7505
57,0.81566,0.8209
58,0.81622,0.8307
59,0.8176,0.7926
60,0.87306,0.9093
61,0.88924,0.9111
62,0.89448,0.9137
63,0.89654,0.9098
64,0.8978,0.9083
65,0.8986,0.9118
66,0.9,0.914
67,0.89914,0.915
68,0.9012,0.9175
69,0.9011,0.9131
70,0.9001,0.9069
71,0.8995,0.916
72,0.90024,0.9043
73,0.89864,0.9034
74,0.89934,0.9099
75,0.8991,0.9134
76,0.89844,0.8994
77,0.89878,0.9044
78,0.89974,0.9017
79,0.90048,0.914
80,0.89846,0.8985
81,0.8993,0.9062
82,0.90042,0.9041
83,0.89778,0.8919
84,0.89962,0.9041
85,0.89982,0.8961
86,0.90108,0.9155
87,0.9031,0.8934
88,0.9004,0.9056
89,0.90118,0.9193
90,0.90034,0.9018
91,0.90064,0.9064
92,0.90312,0.9116
93,0.90136,0.9139
94,0.90358,0.9048
95,0.90348,0.8948
96,0.90118,0.8971
97,0.9034,0.9071
98,0.90476,0.9084
99,0.90478,0.9045
100,0.90216,0.9029
101,0.90376,0.9059
102,0.90464,0.9106
103,0.90508,0.9075
104,0.90522,0.9103
105,0.907,0.8994
106,0.9047,0.8968
107,0.90576,0.9147
108,0.9014,0.9157
109,0.90576,0.9137
110,0.90552,0.9105
111,0.90666,0.8904
112,0.90772,0.9146
113,0.90772,0.9112
114,0.90638,0.8974
115,0.9079,0.8979
116,0.90802,0.9032
117,0.90642,0.9121
118,0.90786,0.8991
119,0.90584,0.893
120,0.93538,0.9387
121,0.94642,0.9411
122,0.948,0.9423
123,0.95138,0.9433
124,0.95314,0.9409
125,0.95412,0.9433
126,0.95512,0.9439
127,0.957,0.942
128,0.95772,0.9427
129,0.95684,0.9431
130,0.95784,0.941
131,0.95926,0.9424
132,0.95968,0.943
133,0.9611,0.9429
134,0.95926,0.9449
135,0.961,0.9432
136,0.96178,0.9449
137,0.96022,0.944
138,0.9608,0.9415
139,0.96302,0.9422
140,0.96154,0.9434
141,0.96248,0.9432
142,0.96266,0.9436
143,0.96366,0.9419
144,0.96336,0.9414
145,0.96274,0.942
146,0.96342,0.9419
147,0.96282,0.9457
148,0.96276,0.943
149,0.96298,0.9418
150,0.96402,0.9429
151,0.96344,0.9383
152,0.96204,0.9421
153,0.96458,0.9413
154,0.9636,0.9413
155,0.96332,0.9424
156,0.963,0.9427
157,0.9643,0.9396
158,0.9647,0.9415
159,0.96398,0.9437
160,0.97122,0.9491
161,0.97434,0.9488
162,0.97518,0.9493
163,0.97796,0.9487
164,0.9757,0.9488
165,0.97776,0.9506
166,0.97814,0.9493
167,0.97766,0.9494
168,0.97776,0.9504
169,0.97794,0.9484
170,0.97862,0.9503
171,0.97832,0.9492
172,0.98028,0.9504
173,0.97878,0.9508
174,0.97968,0.9499
175,0.97988,0.9514
176,0.98056,0.95
177,0.98014,0.9495
178,0.9804,0.9504
179,0.98118,0.9495
180,0.97994,0.9492
181,0.98066,0.9497
182,0.98044,0.9518
183,0.98132,0.9502
184,0.98112,0.9491
185,0.98076,0.9504
186,0.98052,0.9496
187,0.98098,0.9507
188,0.98178,0.9508
189,0.98084,0.9491
190,0.98262,0.9492
191,0.98132,0.949
192,0.98086,0.9499
193,0.9811,0.9493
194,0.98208,0.948
195,0.98072,0.9499
196,0.98148,0.9501
197,0.98278,0.9514
198,0.98056,0.9507
199,0.98178,0.948
