dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.41144,0.5334
1,0.564,0.5176
2,0.62606,0.6381
3,0.67048,0.641
4,0.70244,0.6932
5,0.72388,0.7202
6,0.73674,0.7741
7,0.74816,0.7643
8,0.7538,0.6758
9,0.76176,0.74
10,0.76726,0.7472
11,0.77062,0.788
12,0.77432,0.7897
13,0.7791,0.7354
14,0.782,0.7815
15,0.7852,0.7808
16,0.78716,0.7642
17,0.78762,0.7665
18,0.7926,0.8017
19,0.79308,0.8203
20,0.79058,0.727
21,0.79596,0.8109
22,0.79488,0.8164
23,0.79568,0.744
24,0.8002,0.7682
25,0.80112,0.8298
26,0.7974,0.7999
27,0.80184,0.7847
28,0.80148,0.8004
29,0.80058,0.8349
30,0.80312,0.7752
31,0.80286,0.7783
32,0.80358,0.8043
33,0.80376,0.8053
34,0.8047,0.763
35,0.8062,0.7586
36,0.80572,0.764
37,0.80676,0.7973
38,0.80768,0.8142
39,0.80812,0.8048
40,0.8071,0.7693
41,0.80876,0.8027
42,0.8081,0.8129
43,0.8107,0.7128
44,0.80868,0.8168
45,0.81038,0.814
46,0.80954,0.8263
47,0.8093,0.8452
48,0.81172,0.7992
49,0.80848,0.8033
50,0.81038,0.8292
51,0.81286,0.6805
52,0.81106,0.7761
53,0.81282,0.7502
54,0.8096,0.8359
55,0.81162,0.7995
56,0.81334,0.8074
57,0.81006,0.7796
58,0.81388,0.8179
59,0.81282,0.8253
60,0.86494,0.8967
61,0.87932,0.8974
62,0.88234,0.9043
63,0.88746,0.902
64,0.88928,0.9047
65,0.8887,0.9016
66,0.89078,0.9079
67,0.89192,0.9058
68,0.89028,0.8897
69,0.88976,0.9057
70,0.89194,0.9055
71,0.89114,0.9072
72,0.89022,0.8967
73,0.8914,0.8888
74,0.88786,0.8952
75,0.89008,0.8906
76,0.88924,0.8983
77,0.89084,0.9005
78,0.88876,0.8941
79,0.89328,0.8991
80,0.89044,0.858
81,0.88846,0.8998
82,0.8893,0.8999
83,0.88932,0.8847
84,0.89072,0.8847
85,0.89022,0.8969
86,0.8948,0.8976
87,0.89254,0.8948
88,0.89004,0.9038
89,0.8939,0.9036
90,0.89208,0.8788
91,0.89286,0.8864
92,0.89186,0.8935
93,0.89134,0.884
94,0.89178,0.8936
95,0.89472,0.8601
96,0.89266,0.8921
97,0.89198,0.8994
98,0.8922,0.9036
99,0.8919,0.9029
100,0.89258,0.9046
101,0.89428,0.8959
102,0.89438,0.8978
103,0.8948,0.8997
104,0.8947,0.8985
105,0.8919,0.9037
106,0.89616,0.8999
107,0.89724,0.8968
108,0.89764,0.8948
109,0.89654,0.8957
110,0.89476,0.8951
111,0.8949,0.8957
112,0.89598,0.8827
113,0.8979,0.9061
114,0.8954,0.9009
115,0.89484,0.9047
116,0.89758,0.9136
117,0.89846,0.9017
118,0.8977,0.8951
119,0.89838,0.8919
120,0.92294,0.9274
121,0.93304,0.9298
122,0.9373,0.9316
123,0.94042,0.929
124,0.94112,0.9326
125,0.94028,0.9302
126,0.9442,0.9331
127,0.94442,0.9319
128,0.94522,0.9351
129,0.94538,0.9345
130,0.94814,0.9311
131,0.94686,0.934
132,0.94688,0.9335
133,0.9487,0.9344
134,0.94832,0.9342
135,0.94834,0.935
136,0.9491,0.9338
137,0.94884,0.935
138,0.94978,0.9319
139,0.95064,0.931
140,0.94992,0.9297
141,0.9509,0.9298
142,0.95026,0.9259
143,0.95006,0.9341
144,0.94992,0.9306
145,0.95006,0.9333
146,0.95134,0.9319
147,0.95082,0.9318
148,0.9505,0.9355
149,0.95128,0.9319
150,0.95074,0.9299
151,0.95104,0.9304
152,0.94938,0.9313
153,0.95338,0.9303
154,0.95182,0.936
155,0.95248,0.9289
156,0.9525,0.9301
157,0.95176,0.9333
158,0.95238,0.9298
159,0.95098,0.9329
160,0.96024,0.9402
161,0.96434,0.9389
162,0.96358,0.9391
163,0.96564,0.9401
164,0.9658,0.9397
165,0.96796,0.9407
166,0.96744,0.9401
167,0.96696,0.9398
168,0.9666,0.9407
169,0.96724,0.9409
170,0.96888,0.9399
171,0.96682,0.9397
172,0.96824,0.9415
173,0.96942,0.9403
174,0.9683,0.941
175,0.9683,0.9406
176,0.96952,0.9389
177,0.96888,0.941
178,0.96888,0.939
179,0.97002,0.9405
180,0.96972,0.9406
181,0.96896,0.9401
182,0.96906,0.9409
183,0.97064,0.9413
184,0.9693,0.9416
185,0.9708,0.9398
186,0.97092,0.9405
187,0.9697,0.9406
188,0.97126,0.9399
189,0.97236,0.9396
190,0.97148,0.9394
191,0.97136,0.9411
192,0.9713,0.9411
193,0.97196,0.9405
194,0.9716,0.941
195,0.9709,0.9416
196,0.97104,0.9403
197,0.97158,0.941
198,0.9725,0.9399
199,0.97056,0.9425
