dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.36512,0.481
1,0.5199,0.5829
2,0.59672,0.6322
3,0.64042,0.6593
4,0.66786,0.6808
5,0.69146,0.7212
6,0.70886,0.7223
7,0.71734,0.6804
8,0.72702,0.7472
9,0.73232,0.7654
10,0.73756,0.7352
11,0.74214,0.7513
12,0.74432,0.7616
13,0.74816,0.78
14,0.75292,0.7384
15,0.7537,0.791
16,0.75666,0.7277
17,0.7591,0.7518
18,0.76298,0.7367
19,0.76278,0.7692
20,0.76502,0.7174
21,0.7658,0.7763
22,0.76842,0.7338
23,0.76784,0.68
24,0.77008,0.7795
25,0.77018,0.7691
26,0.77334,0.7738
27,0.7715,0.7965
28,0.77304,0.7898
29,0.77322,0.7535
30,0.77128,0.7663
31,0.77616,0.8098
32,0.77274,0.8054
33,0.77558,0.7817
34,0.7776,0.7811
35,0.77778,0.7968
36,0.77756,0.7938
37,0.77746,0.774
38,0.77938,0.8212
39,0.78138,0.757
40,0.7785,0.7511
41,0.78154,0.725
42,0.77866,0.7568
43,0.78314,0.8023
44,0.7813,0.7696
45,0.78016,0.7607
46,0.781,0.7154
47,0.7828,0.7948
48,0.78444,0.8069
49,0.78104,0.6609
50,0.78098,0.812
51,0.7837,0.7797
52,0.78586,0.7252
53,0.78252,0.7444
54,0.78354,0.795
55,0.78236,0.814
56,0.78506,0.8154
57,0.78654,0.8058
58,0.78772,0.813
59,0.78576,0.8177
60,0.83964,0.8811
61,0.85414,0.8804
62,0.85816,0.8877
63,0.86146,0.8816
64,0.86608,0.8892
65,0.86306,0.8903
66,0.86414,0.8834
67,0.8648,0.8577
68,0.86686,0.895
69,0.86344,0.8853
70,0.86448,0.887
71,0.86418,0.8807
72,0.86428,0.8837
73,0.86356,0.8837
74,0.86254,0.8835
75,0.86428,0.8899
76,0.8648,0.8753
77,0.86446,0.8662
78,0.86282,0.8774
79,0.8632,0.8766
80,0.86492,0.8904
81,0.86672,0.8673
82,0.86452,0.8785
83,0.8646,0.885
84,0.86514,0.8867
85,0.86378,0.8787
86,0.86446,0.8802
87,0.86534,0.866
88,0.86538,0.8704
89,0.86582,0.8774
90,0.86608,0.8917
91,0.86568,0.875
92,0.86728,0.8897
93,0.86458,0.8584
94,0.86724,0.8828
95,0.86584,0.8709
96,0.8677,0.8679
97,0.86514,0.8617
98,0.86786,0.8759
99,0.86874,0.8801
100,0.86624,0.8638
101,0.8697,0.8796
102,0.86712,0.8872
103,0.86694,0.8756
104,0.87032,0.8736
105,0.87096,0.8727
106,0.86826,0.8763
107,0.8699,0.8907
108,0.86966,0.8765
109,0.86908,0.8573
110,0.87204,0.8795
111,0.87006,0.8851
112,0.87034,0.8688
113,0.87114,0.8908
114,0.8698,0.8753
115,0.8715,0.8905
116,0.87118,0.8673
117,0.86942,0.8498
118,0.87112,0.8656
119,0.87478,0.8843
120,0.89994,0.9158
121,0.91042,0.9192
122,0.91336,0.9182
123,0.91596,0.9212
124,0.91886,0.9221
125,0.91798,0.9229
126,0.9195,0.9205
127,0.9208,0.9209
128,0.92094,0.9232
129,0.92274,0.9215
130,0.92306,0.9239
131,0.92304,0.923
132,0.92294,0.92
133,0.92276,0.9235
134,0.9258,0.9218
135,0.9259,0.9202
136,0.92682,0.9212
137,0.92508,0.9209
138,0.92504,0.9191
139,0.92736,0.9201
140,0.92884,0.9177
141,0.92716,0.9187
142,0.92828,0.9233
143,0.9282,0.9191
144,0.92824,0.9196
145,0.92926,0.922
146,0.92808,0.9168
147,0.92928,0.9161
148,0.92776,0.9178
149,0.9285,0.9179
150,0.92904,0.92
151,0.92884,0.9208
152,0.92994,0.918
153,0.92884,0.9214
154,0.93164,0.9214
155,0.92816,0.918
156,0.9287,0.9149
157,0.9297,0.9161
158,0.92856,0.9178
159,0.92898,0.922
160,0.94004,0.9282
161,0.94408,0.9285
162,0.94464,0.9289
163,0.94676,0.9288
164,0.9459,0.9301
165,0.94722,0.9305
166,0.94646,0.9317
167,0.94764,0.9303
168,0.94784,0.9293
169,0.94964,0.9297
170,0.948,0.9316
171,0.94966,0.9317
172,0.95002,0.9304
173,0.9501,0.9305
174,0.94922,0.9313
175,0.95192,0.9303
176,0.95148,0.9324
177,0.9503,0.9308
178,0.95038,0.9307
179,0.95184,0.9314
180,0.9519,0.9315
181,0.95012,0.9307
182,0.95034,0.932
183,0.95164,0.9302
184,0.95228,0.9318
185,0.95282,0.9318
186,0.95228,0.9306
187,0.95232,0.9314
188,0.9523,0.9306
189,0.95324,0.931
190,0.9545,0.9319
191,0.95092,0.93
192,0.95364,0.9339
193,0.95274,0.9329
194,0.95446,0.934
195,0.95578,0.9323
196,0.9525,0.9318
197,0.9527,0.932
198,0.9526,0.9307
199,0.95262,0.9304
