dataset,cifar10
model,resnet18
batch_size,64
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.30404,0.4218
1,0.43814,0.5361
2,0.52656,0.5326
3,0.57916,0.446
4,0.61276,0.595
5,0.64146,0.6198
6,0.67068,0.6784
7,0.68988,0.6863
8,0.704,0.6915
9,0.71252,0.6952
10,0.71668,0.7226
11,0.72248,0.7249
12,0.729,0.5871
13,0.72964,0.7291
14,0.73284,0.6954
15,0.73558,0.7536
16,0.741,0.7216
17,0.74038,0.6958
18,0.74256,0.7091
19,0.74676,0.6262
20,0.7433,0.6419
21,0.74576,0.7454
22,0.74824,0.7458
23,0.74738,0.7777
24,0.7485,0.7796
25,0.7499,0.7562
26,0.75156,0.7538
27,0.7507,0.7461
28,0.7519,0.6918
29,0.75322,0.6728
30,0.75186,0.7774
31,0.75412,0.7573
32,0.75312,0.7794
33,0.75552,0.7739
34,0.7557,0.7541
35,0.75694,0.7835
36,0.75684,0.7474
37,0.75648,0.7482
38,0.75554,0.7442
39,0.75754,0.7172
40,0.758,0.762
41,0.75514,0.7217
42,0.75648,0.6462
43,0.75846,0.7561
44,0.75986,0.7359
45,0.75746,0.7212
46,0.756,0.7396
47,0.75958,0.768
48,0.7602,0.7754
49,0.76136,0.7135
50,0.75672,0.6405
51,0.7607,0.7835
52,0.75954,0.7607
53,0.76072,0.7598
54,0.7583,0.7997
55,0.7622,0.7429
56,0.76228,0.8029
57,0.76088,0.791
58,0.76478,0.7568
59,0.7618,0.8037
60,0.83298,0.8772
61,0.8491,0.8753
62,0.85054,0.8797
63,0.85494,0.8721
64,0.85472,0.8617
65,0.8553,0.8798
66,0.8528,0.8751
67,0.85424,0.8792
68,0.85648,0.8773
69,0.85468,0.8872
70,0.85488,0.8665
71,0.8539,0.8838
72,0.85396,0.8818
73,0.85656,0.8597
74,0.85908,0.8923
75,0.85526,0.8534
76,0.85658,0.8826
77,0.85834,0.8591
78,0.85786,0.8682
79,0.85992,0.8755
80,0.86078,0.8827
81,0.86018,0.8734
82,0.86078,0.8877
83,0.86006,0.8761
84,0.85974,0.8817
85,0.86064,0.8878
86,0.86194,0.8836
87,0.86378,0.8789
88,0.8636,0.8783
89,0.86304,0.8871
90,0.86244,0.8795
91,0.86336,0.8734
92,0.86064,0.8852
93,0.86706,0.8827
94,0.86404,0.8922
95,0.86366,0.8779
96,0.86434,0.8837
97,0.86388,0.8766
98,0.86578,0.873
99,0.86538,0.89
100,0.86496,0.8794
101,0.86708,0.8856
102,0.86562,0.8802
103,0.86658,0.8863
104,0.8669,0.8884
105,0.86482,0.8767
106,0.8662,0.8795
107,0.86654,0.8883
108,0.86908,0.8894
109,0.8653,0.8927
110,0.86654,0.8829
111,0.86834,0.8723
